++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  90 |  2  |  3  |  23 |   0.19  |  88 |  0  |  0  |  30 |   0.0   |  84 |  9  |  6  |  19 |   0.3   |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  69 |  23 |  12 |  14 |   0.39  |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  24 |  64 |  25 |  5  |   0.42  |  67 |  26 |  14 |  11 |   0.43  |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  11 |  76 |  26 |  5  |   0.39  |  72 |  20 |  12 |  14 |   0.41  |  79 |  9  |  4  |  26 |   0.19  |  77 |  16 |  10 |  15 |   0.39  |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  67 |  25 |  10 |  16 |   0.33  |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  21 |  66 |  25 |  6  |   0.41  |  70 |  22 |  14 |  12 |   0.45  |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|     AVCIBAS     |  53 |  33 |  31 |  1  |   0.65  |  83 |  4  |  17 |  14 |   0.65  |  17 |  75 |  24 |  2  |   0.38  |  88 |  0  |  3  |  27 |   0.18  |  0  |  93 |  25 |  0  |   0.35  |
|     AVCIBAS     |  1  |  85 |  32 |  0  |   0.43  |  87 |  0  |  0  |  31 |   0.0   |  86 |  6  |  12 |  14 |   0.55  |  33 |  55 |  25 |  5  |   0.45  |  93 |  0  |  0  |  25 |   0.0   |
|     AVCIBAS     |  85 |  1  |  11 |  21 |   0.5   |  84 |  3  |  16 |  15 |   0.64  |  86 |  6  |  17 |  9  |   0.69  |  84 |  4  |  13 |  17 |   0.55  |  79 |  14 |  12 |  13 |   0.47  |
|     AVCIBAS     |  58 |  28 |  17 |  15 |   0.44  |  87 |  0  |  0  |  31 |   0.0   |  90 |  2  |  0  |  26 |   0.0   |  17 |  71 |  24 |  6  |   0.38  |  66 |  27 |  15 |  10 |   0.45  |
|     AVCIBAS     |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  49 |  43 |  19 |  7  |   0.43  |  88 |  0  |  0  |  30 |   0.0   |  0  |  93 |  25 |  0  |   0.35  |
|     AVCIBAS     |  85 |  1  |  26 |  6  |   0.88  |  84 |  3  |  27 |  4  |   0.89  |  89 |  3  |  21 |  5  |   0.84  |  85 |  3  |  24 |  6  |   0.84  |  91 |  2  |  22 |  3  |   0.9   |
|     AVCIBAS     |  73 |  13 |  6  |  26 |   0.24  |  87 |  0  |  0  |  31 |   0.0   |  0  |  92 |  26 |  0  |   0.36  |  61 |  27 |  14 |  16 |   0.39  |  31 |  62 |  20 |  5  |   0.37  |
|     AVCIBAS     |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  2  |  28 |   0.12  |  76 |  17 |  13 |  12 |   0.47  |
|     AVCIBAS     |  86 |  0  |  0  |  32 |   0.0   |  0  |  87 |  31 |  0  |   0.42  |  0  |  92 |  26 |  0  |   0.36  |  88 |  0  |  0  |  30 |   0.0   |  90 |  3  |  7  |  18 |   0.4   |
|     AVCIBAS     |  0  |  86 |  32 |  0  |   0.43  |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  44 |  44 |  11 |  19 |   0.26  |  93 |  0  |  0  |  25 |   0.0   |
|   STATISTICAL   |  0  |  86 |  32 |  0  |   0.43  |  87 |  0  |  0  |  31 |   0.0   |  0  |  92 |  26 |  0  |   0.36  |  73 |  15 |  14 |  16 |   0.47  |  41 |  52 |  21 |  4  |   0.43  |
|   STATISTICAL   |  44 |  42 |  20 |  12 |   0.43  |  39 |  48 |  11 |  20 |   0.24  |  8  |  84 |  22 |  4  |   0.33  |  75 |  13 |  9  |  21 |   0.35  |  79 |  14 |  3  |  22 |   0.14  |
|   STATISTICAL   |  72 |  14 |  21 |  11 |   0.63  |  69 |  18 |  16 |  15 |   0.49  |  81 |  11 |  15 |  11 |   0.58  |  63 |  25 |  18 |  12 |   0.49  |  93 |  0  |  0  |  25 |   0.0   |
